[2017/12/19 14:46:54] , 1.327
[2017/12/19 14:46:54] , 0.037
[2017/12/19 14:46:54] , 0.041
[2017/12/19 14:46:54] , 0.032
[2017/12/19 14:46:54] , 0.078
[2017/12/19 14:46:54] , 0.092
[2017/12/19 14:46:54] , 0.069
[2017/12/19 14:46:54] , 0.065
[2017/12/19 14:46:54] , 0.06
[2017/12/19 14:46:56] , 1.592
[2017/12/19 14:46:56] , 0.087
[2017/12/19 14:46:56] , 0.091
[2017/12/19 14:46:56] , 0.105
[2017/12/19 14:46:57] , 0.662
[2017/12/19 14:46:57] , 0.079
[2017/12/19 14:46:57] , 0.155
[2017/12/19 14:46:57] , 0.055
[2017/12/19 14:46:57] , 0.046
[2017/12/19 14:46:57] , 0.056
[2017/12/19 14:46:57] , 0.055
[2017/12/19 14:46:58] , 0.041
[2017/12/19 14:46:58] , 0.032
[2017/12/19 14:46:58] , 0.032
[2017/12/19 14:46:58] , 0.471
[2017/12/19 14:46:58] , 0.085
[2017/12/19 14:46:58] , 0.06
[2017/12/19 14:46:58] , 0.055
[2017/12/19 14:46:58] , 0.055
[2017/12/19 14:46:58] , 0.051
[2017/12/19 14:46:58] , 0.041
[2017/12/19 14:46:58] , 0.041
[2017/12/19 14:46:59] , 0.041
[2017/12/19 14:46:59] , 0.05
[2017/12/19 14:46:59] , 0.499
[2017/12/19 14:46:59] , 0.046
[2017/12/19 14:46:59] , 0.046
[2017/12/19 14:46:59] , 0.072
[2017/12/19 14:46:59] , 0.101
[2017/12/19 14:46:59] , 0.065
[2017/12/19 14:46:59] , 0.051
[2017/12/19 14:46:59] , 0.051
[2017/12/19 14:47:00] , 0.55
[2017/12/19 14:47:00] , 0.247
[2017/12/19 14:47:00] , 0.05
[2017/12/19 14:47:00] , 0.036
[2017/12/19 14:47:00] , 0.041
[2017/12/19 14:47:00] , 0.046
[2017/12/19 14:47:01] , 0.046
[2017/12/19 14:47:01] , 0.041
[2017/12/19 14:47:01] , 0.037
[2017/12/19 14:47:01] , 0.032
[2017/12/19 14:47:01] , 0.046
[2017/12/19 14:47:01] , 0.484
[2017/12/19 14:47:03] , 1.39
[2017/12/19 14:47:03] , 0.101
[2017/12/19 14:47:03] , 0.092
[2017/12/19 14:47:03] , 0.088
[2017/12/19 14:47:03] , 0.078
[2017/12/19 14:47:03] , 0.262
[2017/12/19 14:47:03] , 0.042
[2017/12/19 14:47:03] , 0.041
[2017/12/19 14:47:03] , 0.042
[2017/12/19 14:47:03] , 0.046
[2017/12/19 14:47:03] , 0.055
[2017/12/19 14:47:04] , 0.514
[2017/12/19 14:47:04] , 0.055
[2017/12/19 14:47:04] , 0.051
[2017/12/19 14:47:04] , 0.055
[2017/12/19 14:47:04] , 0.068
[2017/12/19 14:47:04] , 0.064
[2017/12/19 14:47:04] , 0.059
[2017/12/19 14:47:04] , 0.069
[2017/12/19 14:47:05] , 0.807
[2017/12/19 14:47:05] , 0.128
[2017/12/19 14:47:05] , 0.078
[2017/12/19 14:47:06] , 0.683
[2017/12/19 14:47:06] , 0.074
[2017/12/19 14:47:06] , 0.065
[2017/12/19 14:47:06] , 0.065
[2017/12/19 14:47:06] , 0.137
[2017/12/19 14:47:06] , 0.064
[2017/12/19 14:47:06] , 0.051
[2017/12/19 14:47:07] , 0.042
[2017/12/19 14:47:07] , 0.041
[2017/12/19 14:47:07] , 0.041
[2017/12/19 14:47:07] , 0.037
[2017/12/19 14:47:07] , 0.032
[2017/12/19 14:47:07] , 0.61
[2017/12/19 14:47:07] , 0.046
[2017/12/19 14:47:07] , 0.046
[2017/12/19 14:47:08] , 0.411
[2017/12/19 14:47:09] , 0.816
[2017/12/19 14:47:09] , 0.124
[2017/12/19 14:47:09] , 0.11
[2017/12/19 14:47:09] , 0.105
[2017/12/19 14:47:09] , 0.092
[2017/12/19 14:47:09] , 0.069
[2017/12/19 14:47:09] , 0.294
[2017/12/19 14:47:09] , 0.046
[2017/12/19 14:47:10] , 0.05
[2017/12/19 14:47:10] , 0.05
[2017/12/19 14:47:10] , 0.046
[2017/12/19 14:47:10] , 0.041
[2017/12/19 14:47:10] , 0.042
[2017/12/19 14:47:10] , 0.046
[2017/12/19 14:47:10] , 0.605
[2017/12/19 14:47:10] , 0.06
[2017/12/19 14:47:10] , 0.06
